symbol,status
YFIUPUSDT,TRADING
YFIDOWNUSDT,TRADING
INJBNB,TRADING
INJBTC,TRADING
INJBUSD,TRADING
INJUSDT,TRADING
AERGOBTC,TRADING
AERGOBUSD,TRADING
LINKEUR,TRADING
ONEBUSD,TRADING
EASYETH,TRADING
AUDIOBTC,TRADING
AUDIOBUSD,TRADING
AUDIOUSDT,TRADING
CTKBNB,TRADING
CTKBTC,TRADING
CTKBUSD,TRADING
CTKUSDT,TRADING
BCHUPUSDT,BREAK
BCHDOWNUSDT,BREAK
BOTBTC,TRADING
BOTBUSD,TRADING
ETHBRL,TRADING
DOTEUR,TRADING
AKROBTC,TRADING
AKROUSDT,TRADING
KP3RBNB,TRADING
KP3RBUSD,TRADING
AXSBNB,TRADING
AXSBTC,TRADING
AXSBUSD,TRADING
AXSUSDT,TRADING
HARDBNB,TRADING
HARDBTC,TRADING
HARDBUSD,TRADING
HARDUSDT,TRADING
BNBBRL,TRADING
LTCEUR,TRADING
RENBTCBTC,TRADING
RENBTCETH,TRADING
DNTBUSD,TRADING
DNTUSDT,TRADING
SLPETH,TRADING
ADAEUR,TRADING
LTCNGN,TRADING
CVPETH,TRADING
CVPBUSD,TRADING
STRAXBTC,TRADING
STRAXETH,TRADING
STRAXBUSD,TRADING
STRAXUSDT,TRADING
FORBTC,TRADING
FORBUSD,TRADING
UNFIBNB,TRADING
UNFIBTC,TRADING
UNFIBUSD,TRADING
UNFIUSDT,TRADING
FRONTETH,TRADING
FRONTBUSD,TRADING
BCHABUSD,TRADING
ROSEBTC,TRADING
ROSEBUSD,TRADING
ROSEUSDT,TRADING
AVAXTRY,TRADING
BUSDBRL,TRADING
AVAUSDT,TRADING
SYSBUSD,TRADING
XEMUSDT,TRADING
HEGICETH,TRADING
HEGICBUSD,TRADING
AAVEUPUSDT,TRADING
AAVEDOWNUSDT,TRADING
PROMBNB,TRADING
PROMBUSD,TRADING
XRPBRL,TRADING
XRPNGN,TRADING
SKLBTC,TRADING
SKLBUSD,TRADING
SKLUSDT,TRADING
BCHEUR,TRADING
YFIEUR,TRADING
ZILBIDR,TRADING
SUSDBTC,TRADING
SUSDETH,TRADING
SUSDUSDT,TRADING
COVERETH,TRADING
COVERBUSD,TRADING
GLMBTC,TRADING
GLMETH,TRADING
GHSTETH,TRADING
GHSTBUSD,TRADING
SUSHIUPUSDT,TRADING
SUSHIDOWNUSDT,TRADING
XLMUPUSDT,TRADING
XLMDOWNUSDT,TRADING
LINKBRL,TRADING
LINKNGN,TRADING
LTCRUB,TRADING
TRXTRY,TRADING
XLMEUR,TRADING
DFETH,TRADING
DFBUSD,TRADING
GRTBTC,TRADING
GRTETH,TRADING
GRTUSDT,TRADING
JUVBTC,TRADING
JUVBUSD,TRADING
JUVUSDT,TRADING
PSGBTC,TRADING
PSGBUSD,TRADING
PSGUSDT,TRADING
BUSDBVND,TRADING
USDTBVND,TRADING
1INCHBTC,TRADING
1INCHUSDT,TRADING
REEFBTC,TRADING
REEFUSDT,TRADING
OGBTC,TRADING
OGUSDT,TRADING
ATMBTC,TRADING
ATMUSDT,TRADING
ASRBTC,TRADING
ASRUSDT,TRADING
CELOBTC,TRADING
CELOUSDT,TRADING
RIFBTC,TRADING
RIFUSDT,TRADING
CHZTRY,TRADING
XLMTRY,TRADING
LINKGBP,TRADING
GRTEUR,TRADING
BTCSTBTC,TRADING
BTCSTBUSD,TRADING
BTCSTUSDT,TRADING
TRUBTC,TRADING
TRUBUSD,TRADING
TRUUSDT,TRADING
DEXEETH,TRADING
DEXEBUSD,TRADING
EOSEUR,TRADING
LTCBRL,TRADING
USDCBUSD,TRADING
TUSDBUSD,TRADING
PAXBUSD,TRADING
CKBBTC,TRADING
CKBBUSD,TRADING
CKBUSDT,TRADING
TWTBTC,TRADING
TWTBUSD,TRADING
TWTUSDT,TRADING
FIROBTC,TRADING
FIROETH,TRADING
FIROUSDT,TRADING
BETHETH,TRADING
DOGEEUR,TRADING
DOGETRY,TRADING
