symbol,status
ZILBNB,TRADING
ONTBTC,TRADING
ONTETH,TRADING
ONTBNB,TRADING
STORMBTC,BREAK
STORMETH,BREAK
STORMBNB,BREAK
QTUMBNB,BREAK
QTUMUSDT,TRADING
XEMBTC,TRADING
XEMETH,TRADING
XEMBNB,BREAK
WANBTC,TRADING
WANETH,TRADING
WANBNB,TRADING
WPRBTC,TRADING
WPRETH,BREAK
QLCBTC,TRADING
QLCETH,TRADING
SYSBTC,TRADING
SYSETH,BREAK
SYSBNB,BREAK
QLCBNB,BREAK
GRSBTC,TRADING
GRSETH,BREAK
ADAUSDT,TRADING
ADABNB,TRADING
CLOAKBTC,BREAK
CLOAKETH,BREAK
GNTBTC,BREAK
GNTETH,BREAK
GNTBNB,BREAK
LOOMBTC,TRADING
LOOMETH,TRADING
LOOMBNB,BREAK
XRPUSDT,TRADING
BCNBTC,BREAK
BCNETH,BREAK
BCNBNB,BREAK
REPBTC,TRADING
REPETH,TRADING
REPBNB,BREAK
BTCTUSD,TRADING
TUSDBTC,BREAK
ETHTUSD,TRADING
TUSDETH,BREAK
TUSDBNB,BREAK
ZENBTC,TRADING
ZENETH,TRADING
ZENBNB,TRADING
SKYBTC,TRADING
SKYETH,BREAK
SKYBNB,BREAK
EOSUSDT,TRADING
EOSBNB,TRADING
CVCBTC,TRADING
CVCETH,TRADING
CVCBNB,BREAK
THETABTC,TRADING
THETAETH,TRADING
THETABNB,TRADING
XRPBNB,TRADING
TUSDUSDT,TRADING
IOTAUSDT,TRADING
XLMUSDT,TRADING
IOTXBTC,TRADING
IOTXETH,TRADING
QKCBTC,TRADING
QKCETH,TRADING
AGIBTC,TRADING
AGIETH,BREAK
AGIBNB,BREAK
NXSBTC,TRADING
NXSETH,BREAK
NXSBNB,BREAK
ENJBNB,TRADING
DATABTC,TRADING
DATAETH,TRADING
ONTUSDT,TRADING
TRXBNB,TRADING
TRXUSDT,TRADING
ETCUSDT,TRADING
ETCBNB,TRADING
ICXUSDT,TRADING
SCBTC,TRADING
SCETH,TRADING
SCBNB,TRADING
NPXSBTC,BREAK
NPXSETH,TRADING
VENUSDT,BREAK
KEYBTC,BREAK
KEYETH,TRADING
NASBTC,TRADING
NASETH,TRADING
NASBNB,BREAK
MFTBTC,BREAK
MFTETH,TRADING
MFTBNB,TRADING
DENTBTC,BREAK
DENTETH,TRADING
ARDRBTC,TRADING
ARDRETH,BREAK
ARDRBNB,BREAK
NULSUSDT,TRADING
HOTBTC,BREAK
HOTETH,TRADING
VETBTC,TRADING
VETETH,TRADING
VETUSDT,TRADING
VETBNB,TRADING
DOCKBTC,TRADING
DOCKETH,BREAK
POLYBTC,TRADING
POLYBNB,BREAK
PHXBTC,BREAK
PHXETH,BREAK
PHXBNB,BREAK
HCBTC,BREAK
HCETH,BREAK
GOBTC,TRADING
GOBNB,BREAK
PAXBTC,BREAK
PAXBNB,BREAK
PAXUSDT,TRADING
PAXETH,BREAK
RVNBTC,TRADING
RVNBNB,TRADING
DCRBTC,TRADING
DCRBNB,BREAK
USDCBNB,BREAK
MITHBTC,TRADING
MITHBNB,TRADING
BCHABCBTC,BREAK
BCHSVBTC,BREAK
BCHABCUSDT,BREAK
BCHSVUSDT,BREAK
BNBPAX,TRADING
BTCPAX,TRADING
ETHPAX,TRADING
XRPPAX,TRADING
EOSPAX,BREAK
XLMPAX,BREAK
RENBTC,TRADING
RENBNB,BREAK
BNBTUSD,TRADING
XRPTUSD,TRADING
EOSTUSD,TRADING
XLMTUSD,BREAK
BNBUSDC,TRADING
BTCUSDC,TRADING
ETHUSDC,TRADING
XRPUSDC,TRADING
EOSUSDC,TRADING
XLMUSDC,BREAK
USDCUSDT,TRADING
ADATUSD,TRADING
TRXTUSD,TRADING
NEOTUSD,BREAK
TRXXRP,TRADING
XZCXRP,BREAK
PAXTUSD,BREAK
USDCTUSD,BREAK
USDCPAX,BREAK
LINKUSDT,TRADING
LINKTUSD,TRADING
LINKPAX,BREAK
LINKUSDC,TRADING
WAVESUSDT,TRADING
WAVESTUSD,BREAK
WAVESPAX,BREAK
WAVESUSDC,BREAK
BCHABCTUSD,BREAK
BCHABCPAX,BREAK
BCHABCUSDC,BREAK
BCHSVTUSD,BREAK
BCHSVPAX,BREAK
BCHSVUSDC,BREAK
LTCTUSD,TRADING
LTCPAX,TRADING
LTCUSDC,TRADING
TRXPAX,TRADING
TRXUSDC,TRADING
BTTBTC,BREAK
BTTBNB,TRADING
BTTUSDT,TRADING
BNBUSDS,BREAK
BTCUSDS,BREAK
USDSUSDT,BREAK
USDSPAX,BREAK
USDSTUSD,BREAK
USDSUSDC,BREAK
BTTPAX,BREAK
BTTTUSD,TRADING
BTTUSDC,TRADING
ONGBNB,BREAK
ONGBTC,TRADING
ONGUSDT,TRADING
HOTBNB,TRADING
HOTUSDT,TRADING
ZILUSDT,TRADING
ZRXBNB,BREAK
ZRXUSDT,TRADING
FETBNB,TRADING
FETBTC,TRADING
FETUSDT,TRADING
BATUSDT,TRADING
XMRBNB,TRADING
XMRUSDT,TRADING
ZECBNB,TRADING
ZECUSDT,TRADING
ZECPAX,BREAK
ZECTUSD,BREAK
ZECUSDC,TRADING
IOSTBNB,TRADING
IOSTUSDT,TRADING
CELRBNB,TRADING
CELRBTC,TRADING
CELRUSDT,TRADING
ADAPAX,BREAK
ADAUSDC,TRADING
NEOPAX,BREAK
NEOUSDC,TRADING
DASHBNB,TRADING
DASHUSDT,TRADING
NANOUSDT,TRADING
OMGBNB,BREAK
OMGUSDT,TRADING
THETAUSDT,TRADING
ENJUSDT,TRADING
MITHUSDT,TRADING
MATICBNB,TRADING
MATICBTC,TRADING
MATICUSDT,TRADING
ATOMBNB,TRADING
ATOMBTC,TRADING
ATOMUSDT,TRADING
ATOMUSDC,TRADING
ATOMPAX,BREAK
ATOMTUSD,BREAK
ETCUSDC,BREAK
ETCPAX,BREAK
ETCTUSD,BREAK
BATUSDC,TRADING
BATPAX,BREAK
BATTUSD,BREAK
PHBBNB,BREAK
PHBBTC,TRADING
PHBUSDC,BREAK
PHBTUSD,TRADING
PHBPAX,BREAK
TFUELBNB,BREAK
TFUELBTC,TRADING
TFUELUSDT,TRADING
TFUELUSDC,BREAK
TFUELTUSD,BREAK
TFUELPAX,BREAK
ONEBNB,TRADING
ONEBTC,TRADING
ONEUSDT,TRADING
ONETUSD,BREAK
ONEPAX,BREAK
ONEUSDC,BREAK
FTMBNB,TRADING
FTMBTC,TRADING
FTMUSDT,TRADING
FTMTUSD,BREAK
FTMPAX,BREAK
FTMUSDC,BREAK
BTCBBTC,BREAK
BCPTTUSD,BREAK
BCPTPAX,BREAK
BCPTUSDC,BREAK
ALGOBNB,TRADING
ALGOBTC,TRADING
ALGOUSDT,TRADING
ALGOTUSD,TRADING
ALGOPAX,BREAK
ALGOUSDC,BREAK
USDSBUSDT,BREAK
USDSBUSDS,BREAK
GTOUSDT,TRADING
GTOPAX,BREAK
GTOTUSD,BREAK
GTOUSDC,BREAK
ERDBNB,BREAK
ERDBTC,BREAK
ERDUSDT,BREAK
ERDPAX,BREAK
ERDUSDC,BREAK
DOGEBNB,BREAK
DOGEBTC,TRADING
DOGEUSDT,TRADING
DOGEPAX,BREAK
DOGEUSDC,BREAK
DUSKBNB,BREAK
DUSKBTC,TRADING
DUSKUSDT,TRADING
DUSKUSDC,BREAK
DUSKPAX,BREAK
BGBPUSDC,BREAK
ANKRBNB,TRADING
ANKRBTC,TRADING
ANKRUSDT,TRADING
ANKRTUSD,BREAK
ANKRPAX,BREAK
ANKRUSDC,BREAK
ONTPAX,BREAK
ONTUSDC,BREAK
WINBNB,TRADING
WINBTC,BREAK
WINUSDT,TRADING
WINUSDC,TRADING
COSBNB,TRADING
COSBTC,TRADING
COSUSDT,TRADING
TUSDBTUSD,BREAK
NPXSUSDT,TRADING
NPXSUSDC,BREAK
COCOSBNB,TRADING
COCOSBTC,BREAK
COCOSUSDT,TRADING
MTLUSDT,TRADING
TOMOBNB,BREAK
TOMOBTC,TRADING
TOMOUSDT,TRADING
TOMOUSDC,BREAK
PERLBNB,TRADING
PERLBTC,TRADING
PERLUSDC,BREAK
PERLUSDT,TRADING
DENTUSDT,TRADING
MFTUSDT,TRADING
KEYUSDT,TRADING
STORMUSDT,BREAK
DOCKUSDT,TRADING
WANUSDT,TRADING
FUNUSDT,TRADING
CVCUSDT,TRADING
BTTTRX,TRADING
WINTRX,TRADING
CHZBNB,TRADING
CHZBTC,TRADING
CHZUSDT,TRADING
BANDBNB,TRADING
BANDBTC,TRADING
BANDUSDT,TRADING
BNBBUSD,TRADING
BTCBUSD,TRADING
BUSDUSDT,TRADING
BEAMBNB,BREAK
BEAMBTC,TRADING
BEAMUSDT,TRADING
XTZBNB,TRADING
XTZBTC,TRADING
XTZUSDT,TRADING
RENUSDT,TRADING
RVNUSDT,TRADING
HCUSDT,BREAK
HBARBNB,TRADING
HBARBTC,TRADING
HBARUSDT,TRADING
NKNBNB,BREAK
NKNBTC,TRADING
NKNUSDT,TRADING
XRPBUSD,TRADING
ETHBUSD,TRADING
BCHABCBUSD,BREAK
LTCBUSD,TRADING
LINKBUSD,TRADING
ETCBUSD,TRADING
STXBNB,TRADING
STXBTC,TRADING
STXUSDT,TRADING
KAVABNB,TRADING
KAVABTC,TRADING
KAVAUSDT,TRADING
BUSDNGN,TRADING
BNBNGN,TRADING
BTCNGN,TRADING
ARPABNB,TRADING
ARPABTC,TRADING
ARPAUSDT,TRADING
TRXBUSD,TRADING
EOSBUSD,TRADING
IOTXUSDT,TRADING
RLCUSDT,TRADING
MCOUSDT,BREAK
XLMBUSD,TRADING
ADABUSD,TRADING
CTXCBNB,BREAK
CTXCBTC,TRADING
CTXCUSDT,TRADING
BCHBNB,TRADING
BCHBTC,TRADING
BCHUSDT,TRADING
BCHUSDC,TRADING
BCHTUSD,TRADING
BCHPAX,TRADING
BCHBUSD,TRADING
BTCRUB,TRADING
ETHRUB,TRADING
XRPRUB,TRADING
BNBRUB,TRADING
TROYBNB,TRADING
TROYBTC,TRADING
TROYUSDT,TRADING
BUSDRUB,TRADING
QTUMBUSD,TRADING
VETBUSD,TRADING
VITEBNB,BREAK
VITEBTC,TRADING
VITEUSDT,TRADING
FTTBNB,TRADING
FTTBTC,TRADING
FTTUSDT,TRADING
BTCTRY,TRADING
BNBTRY,TRADING
BUSDTRY,TRADING
ETHTRY,TRADING
XRPTRY,TRADING
USDTTRY,TRADING
USDTRUB,TRADING
BTCEUR,TRADING
ETHEUR,TRADING
BNBEUR,TRADING
XRPEUR,TRADING
EURBUSD,TRADING
EURUSDT,TRADING
OGNBNB,TRADING
OGNBTC,TRADING
OGNUSDT,TRADING
DREPBNB,BREAK
DREPBTC,TRADING
DREPUSDT,TRADING
BULLUSDT,BREAK
BULLBUSD,BREAK
BEARUSDT,BREAK
BEARBUSD,BREAK
ETHBULLUSDT,BREAK
ETHBULLBUSD,BREAK
ETHBEARUSDT,BREAK
ETHBEARBUSD,BREAK
TCTBNB,BREAK
TCTBTC,TRADING
TCTUSDT,TRADING
WRXBNB,TRADING
WRXBTC,TRADING
WRXUSDT,TRADING
ICXBUSD,TRADING
BTSUSDT,TRADING
BTSBUSD,BREAK
LSKUSDT,TRADING
BNTUSDT,TRADING
